topic,ask_code,en,ko,ru,zh,mn,note
vs2,vs091,as if (a king),마치 ~처럼(+황제),как будто (король),好像~似的(好像他是皇上似的的+),шиг,
vs3,vs090,"it seems, that ~",~것 같다(비가 올+),кажется (дождь собирается),好像(好像下雨了的+),,
vs2,vs089,hello,여보세요(전화에서),алло,喂(打电话时的+),Байна уу?,
vs3,vs088,Thanks.,고맙습니다,Спасибо.,谢谢,,
vs3,vs087,Sorry.,미안합니다,Извините.,对不起/别生气,,
vs3,vs086,please,어서(+나에게 주세요),"(Дайте мне,) пожалуйста.",请(请递给我的+),,
vs2,vs085,Good night.,안녕히 주무세요(저녁인사),Спокойной ночи!,晚安,Тавтай нойрсоорой.,
vs2,vs084,Good evening.,안녕하세요(저녁인사),Добрый вечер!,晚上好,Оройн мэнд хүргэе.,
vs2,vs083,Good afternoon.,안녕하세요(낮인사),Добрый день!,上午好/下午好,Сайн байна уу?,
vs2,vs082,Good morning.,안녕하세요(아침인사),Доброе утро!,你早,Сайхан нойрсов уу?,
vs3,vs081,Good-bye.,안녕히 가세요,До свидания.,再见,,
vs3,vs080,Hi!,안녕하세요(일반적),Здравствуйте!,您好,,
vs1,vs079,Don't (eat).,~지 마라(먹지+),Не ешь.,别(~做)(别吃了的+),битгий,
vs3,vs078,never,결코(+가지 않을 것이다),Я никогда не пойду.,决不(我决不走的+),,
vs3,vs077,not ~ at all,전혀 ~않다(+어렵지),Совсем не трудно.,完全／丝毫(完全听不懂的+),,
vs2,vs076,just,마침,как раз,恰巧／正,яг,
vs2,vs075,and so on,따위/등등,и так далее,等等,гэх мэт,
vs2,vs074,"probably, perhaps",아마(+그가 올지도 모른다),может быть (он придёт),可能,магадгүй,
vs2,vs073,"of course, of itself",저절로,само собой,自然,аяндаа,
vs3,vs072,"for instance, for example",예를 들어,например,例如,жишээлбэл,
vs2,vs071,"namely, that is",즉,то есть,及/也就是,тухайлбал,
vs2,vs070,secretly,몰래,тайком,悄悄的,сэм,
vs2,vs069,"fairly, pretty",꽤,довольно (много),相当,нилээд,
vs2,vs068,at least,적어도,по крайней мере,至少,дор хаяхад,
vs2,vs067,entirely,완전히,полностью,完全／全,бүрэн,
vs2,vs066,further,더욱이 ,кроме того,更(更好的+),бүр,
vs2,vs065,"finally, at last",드디어,наконец,终于,эцэстээ,
vs2,vs064,"gradually, by and by",점점,постепенно,渐渐,улам л,
vs2,vs063,"almost, nearly",거의,почти,几乎,бараг,
vs2,vs062,mostly,대체로/대개,обычно,大概,их төлөв,
vs1,vs061,again,또/다시,опять,又(又说了一次的+),дахиад,
vs1,vs060,"too, also",역시/또한,тоже,也(我也是中国人的+),бас,
vs2,vs059,all kinds of,온갖,всякий,一切,янз бүрийн,
vs1,vs058,always,항상/언제나,всегда,常常/经常,ямагт,
vs2,vs057,straight,똑바로,прямо,直(简直走的+),чигээрээ,
vs1,vs056,quickly,빨리,быстро,快(快点儿的+),хурдан,
vs1,vs055,slowly,천천히,медленно,慢慢儿,удаан,
vs2,vs054,at the same time,동시에,одновременно,同时,зэрэг,
vs1,vs053,together,같이/함께,вместе,一起,хамт,
vs2,vs052,certainly,반드시,обязательно,一定,заавал,
vs2,vs051,"enough, fairly",충분히,достаточно,充分的(这些充分的够了+)/足,бүрэн,
vs1,vs050,very,몹시/매우,очень,非常/很,маш,
vs3,vs049,still (better),더더욱/한층(+좋다),ещё (напр. лучше),更加(更加好的+),,
vs3,vs048,only,단지 ~에 불과하다,всего лишь,只不过(他只不过是个孩子的+),,
vs1,vs047,only,다만/오직,только,只(我只喜欢她的+)/光,зөвхөн,
vs1,vs046,suddenly,갑자기,вдруг,突然,гэнэт,
vs3,vs045,be not (I am not a student.),~이 아니다(나는 학생이 +),Я не студент.,不是(我不是学生的+),,
vs3,vs044,be (I am a student.),~이다(나는 학생+),Я студент.,是(我是学生的+),,
vs3,vs043,(pass) by,~옆을 지나(숲+),мимо леса,经过(经过树林旁的+),,
vs3,vs042,according to,~에 근거하여(법에 +),"по закону, согласно закону",根据(+法律),,
vs3,vs041,besides,~이외에도(나+),кроме меня,除了~也(除了我谁也不知道的+),,
vs3,vs040,(be built) by (the workers),~에 의해서(집은 노동자들에 + 지어지고 있다),Дом строится рабочими.,被(苹果被我吃了的+),,
vs3,vs039,apart,~과 떨어져서(+걸어가다),вдали от леса,离开(我们离开点儿走路的+),,
vs3,vs038,without,없이(집+),без (дома),没有(没有家),,
vs3,vs037,along,~를 따라서(강을 +),"вдоль реки, по реке",沿着(沿着江边的+),,
vs3,vs036,through,~를 통해(숲을 +),через лес,通过(通过树林的+),,
vs3,vs035,with (mother),함께(엄마와+),(вместе) с мамой,跟~一起(跟妈妈一起),,
vs3,vs034,to (school),~로(학교+/우체국+),(идти) в школу / на почту,到(~去)(到学校去的+),,
vs3,vs033,at (school),~에서/에(학교+/우체국+),в школе / на почте,在(他在学校的+),,
vs3,vs032,"concerning, about",~에 관하여(날씨에+),о (погоде),关于/至于,,
vs3,vs031,for (mother),~를 위하여(어머니+),для матери,为了母亲,,
vs3,vs030,in order to,~기 위하여(토끼를 잡기+),для того чтобы (поймать зайцев),为了(为了抓住斧子的+),,
vs3,vs029,than,~보다,чем,比(我比她好的+),,
vs3,vs028,to (Busan),~까지(부산+)(공간),до Пусана,到(到釜山),,
vs3,vs027,from (Seoul),~에서(서울+)(공간),от Сеула,从(从汉城),,
vs3,vs026,till (three),~까지(3시+)(시간),до трех (часов),到(到三点的+),,
vs3,vs025,from (two),~부터(2시+)(시간),с двух (часов),从(从两点的+),,
vs3,vs024,of,~의(말+ 머리),голова лошади,的(我的，你的的+),,
vs3,vs023,"by, with",~으로(手段)(우리는 숟가락+ 먹는다),(Мы едим) ложкой.,拿／用／由(拿筷子吃饭的+),,
vs3,vs022,because,~기 때문에(비가 왔기+ 우리는 집에 있었다),"(Мы были дома,) потому что (шёл дождь).",由于(由于下雨，我们呆在家里的+),,
vs3,vs021,instead of,~대신에(나+),вместо (меня),替(我替他的+),,
vs3,vs020,after,~한 후에(내가 온+ 그가 돌아왔다),"После того как (я пришёл, он вернулся).",以后(我来了以后他进来了),,
vs3,vs019,"before (Before I came, he had left.)",~기 전에(내가 오기+ 그는 떠났다),"До того как (я пришёл, он ушёл).",以前(我来以前他离开了的+),,
vs3,vs018,when ~,~을 때(내가 왔을+ 그는 자고 있었다),"Когда (я пришёл, он спал).",的时候(学习的时候的+),,
vs3,vs017,otherwise,그렇지 않으면,в противном случае,要不,,
vs2,vs016,so,그렇게,так,那么(别那么说话的+)/那样,тийм,
vs2,vs015,if it is done,기왕,раз уж так получилось,既然,,
vs2,vs014,because,왜냐하면,потому что,因为,,
vs2,vs013,"though, although",비록 ~해도,хотя,就是~也(就是他也不知道的+),,
vs2,vs012,once,일단 ~ 하면(+그가 떠나면),"Раз он уехал, он не вернётся.",先(先离开他的+),,
vs2,vs011,if,만약,если,如果/要是,,
vs2,vs010,therefore,따라서/그래서,поэтому,所以,,
vs2,vs009,and then,그리고 나서,затем,于是,,
vs2,vs008,or,혹은/또는,или,或者,,
vs2,vs007,and,그리고(+바람이 불고 비가 온다),Дует ветер и идет дождь.,而且,,
vs2,vs006,"but, however",그러나,но,但是/可是,,
vs2,vs005,"all right, OK",좋아,ладно,行(我看这个人行的+),болно,
vs2,vs004,"indeed, I see!",정말 그렇다,совершенно верно,就是/可不是(强调),үнэнээсээ тийм,
vs2,vs003,right,맞다/그래,верно,对(你说得对的+),зөв,
vs2,vs002,"not, no",아니오,нет,不是/不,үгүй,
vs2,vs001,right,예,да,是/是的(是，我是中国人的+),тийм,
vm3,vm631,be satisfied,만족하다,удовлетворяться,满意,сэтгэл ханах,
vm3,vm630,paralyze,저리다,затекать (нога),发麻(腿脚发麻的+),бадайрах,
vm3,vm629,freeze,냉각시키다,охлаждать,冰镇(把啤酒冰镇一下儿的+),хөргөх,
vm3,vm628,get cold,식다,остывать,凉(把食物放凉的+),хөрөх,
vm3,vm627,heat,가열하다,нагревать,加热(把牛奶加热的+),халах,
vm3,vm626,make fire,때다(불을+),топить,烧(烧火的+),түлэх,
vm3,vm625,smoke,그을다,закапчиваться,熏(烟熏火燎的+),тортог болох,
vm3,vm624,shine,비치다,светить,照射,туяарах,
vm3,vm623,become muddy,흐리다(물이+),мутный (напр. вода),浑浊,булингартай,
vm3,vm622,become hard,굳다,твердеть,凝固,хатуурах,
vm3,vm621,ring,울리다(소리가+),раздаваться (звук),响(电话铃响的+),дуугарах,
vm3,vm620,become clear,깨끗해지다,стать чистым,澄清,цэвэр болох,
vm3,vm619,stain,더럽히다,пачкать,弄脏,бохирлох,
vm3,vm618,carve,새기다,вырезать,雕刻(在石头上雕刻的+),сийлэх,
vm3,vm617,clean(v),청소하다,убирать (напр. комнату),清扫,цэвэрлэх,
vm3,vm616,"put in order, tidy up",정리하다,приводить в порядок,收拾(收拾房间的+)/整理,зохицуулах,
vm3,vm615,row,젓다(노를+),грести,划(划船的+),сэлүүрдэх,
