blank,ask_code,topic,en,ko,ru,zh,mn,zh_py,note
,va001,va1,sun (n.),해(太陽),солнце,太阳,нар,tai4 yang2 ,
,va002,va2,(sun) rise (v.),뜨다(해가+),Восходит солнце.,出(日+),нар гарах,chu1,
,va003,va2,(sun) set (v.),지다(해가+),Заходит солнце.,落(日+),нар шингэх,luo4,
,va004,va2,sunrise,일출,восход солнца,日出,нар мандах,ri4 chu1 ,
,va005,va2,sunset,일몰,заход солнца,日落,нар жаргах,ri4 luo4 ,
,va006,va1,moon (n.),달,луна,月亮,сар,yue4 liang ,
,va007,va2,"new moon, crescent moon",초승달,молодой месяц,月牙儿,хавирган сар,yue4 ya2r,
,va008,va2,full moon,보름달,полная луна,圆月,тэргэл сар,yuan2 yue4 ,
,va009,va1,star (n.),별,звезда,星星,од,xing1 xing,
,va010,va2,The Big Dipper,북두칠성,Большая Медведица,北斗七星,долоон бурхан,bei3 dou3 qi1 xing1 ,
,va011,va1,sky,하늘,небо,天(天空的+),тэнгэр,tian1 (tian1 kong1 de +)  ,
,va012,va2,(the) earth (n.),지구,Земля (планета),地球,дэлхий,di4 qiu2 ,
,va013,va1,light (n.),햇빛,свет (солнца),光(太阳光的+),гэрэл,guang1 (tai4 yang2 guang1 de +),
,va014,va1,land (n.),땅,земля,地(天地的+),газар,di4 (tian1 di4 de +),
,va015,va1,soil (n.),흙,почва,土(泥土的+),шороо,tu3 (ni2 tu3 de +),
,va016,va2,cultivated land,논밭/경작지,пашня,田地(种田地的+),тарианы газар,tian2 di4 (zhong4 tian2 di4 de +),
,va017,va1,field (n.),밭/들,поле,田(几亩田的+),тариалангийн талбай,tian2 (ji3 mu3 tian2 de +),
,va018,va1,sand,모래,песок,沙子(盖房子用的+),элс,sha1 zi (gai4 fang2 zi yong4 de +),
,va019,va2,sandy ground/soil,모래땅,песчаная почва,沙地(沙子地的+),элсэрхэг газар,sha1 di4 (sha1 zi di4 de +),
,va020,va3,muddy/marsh ground,진흙땅,глиняная почва,泥地,шаварлаг газар,ni2 di4 ,
,va021,va3,dry ground,마른 땅,сухая почва,干地,чийггүй хɵрс,gan1 di4 ,
,va022,va3,gravel,자갈,гравий,石子儿,хайрга чулуу,shi2 zi3r,
,va023,va3,clay,찰흙,глина,粘土,шавар шороо,nian2 tu3 ,
,va024,va3,mud,진흙,грязь (напр. на дороге после дождя),泥土,лаг шавар,ni2 tu3 ,
,va025,va2,swamp/marsh,늪,болото,沼泽,намаг,zhao3 ze2 ,
,va026,va3,marsh land,늪지,болотистая местность,沼泽地,намгархаг газар,zhao3 ze2 di4 ,
,va027,va3,land,육지,суша,陆地(大海，陆地的+),хуурай газар,lu4 di4 (da4 hai3 lu4 di4 de +),
,va028,va2,steppe,초원,степь,草原,хээр тал,cao3 yuan2 ,
,va029,va2,plain (n.),평원,равнина,平原,өргөн тал,ping2 yuan2 ,
,va030,va3,wild plains,광야,просторы (напр. степные),旷野,ээрэм тал,kuang4 ye3 ,
,va031,va1,forest,숲,лес,林子(长满树的+),ой,lin2 zi (zhang3 man3 shu4 de +),
,va032,va3,forest,삼림,лес (густой),森林,ой хөвч,sen1 lin2 ,
,va033,va1,stock farm,목장,пастбище,牧场,бэлчээр,mu4 chang3 ,
,va034,va1,mountain,산,гора,山(上山的+),уул,shan1 (shang4 shan1 de +),
,va035,va2,mountaintop,산꼭대기/산봉우리,вершина горы,山顶/山峰,,shan1 ding3 /shan1 feng1,
,va036,va2,mountain peak,산꼭대기,,山顶,уулын орой,shan1 ding3 ,
,va037,va3,mountain peak,산봉우리,,山峰,уулын оргил,shan1 feng1 ,
,va038,va3,mountain ridge,산등성이,гребень горы,山岗,уулын хяр,shan1 gang3 ,
,va039,va3,slope,산비탈,склон горы,山坡,уулын бэл,shan1 po1 ,
,va040,va2,valley,산골짜기/계곡,долина,山谷,жалга,shan1 gu3 ,
,va041,va2,cliff/precipice,절벽,обрыв,山崖,эгц цохио,shan1 ya2 ,
,va042,va3,whirlpool,소용돌이,водоворот,漩涡,усны эргүүлэг,xuan4 wo1,
,va043,va3,rapid stream,급류,быстрое течение,急流,түргэн урсгал,ji2 liu2 ,
,va102,va3,shallows/ford (n.),여울,мель,滩(江河中水浅多石而水流很急的地方),таргил,tan1(jiang1 he2 zhong1 shui3 qian3 duo1 shi2 er2 shui3 liu2 hen3 ji2 de di4 fang),
,va044,va3,oasis,오아시스,оазис,绿州,баян бүрд,lv4 zhou1 ,
,va045,va3,waterfall,폭포,водопад,瀑布,хүрхрээ,pu4 bu4 ,
,va046,va2,desert,사막,пустыня,沙漠,цөл,sha1 mo4 ,
,va103,va2,The Gobi,고비,гоби (бесплодная степь),戈壁(乾燥草原~砂漠),говь ,,
,va047,va1,river,강,река,江(江河的+),гол,jiang1 (jiang1 he2 de +),
,va048,va1,rivulet,시내/내,речка,小河,,xiao3 he2 ,
,va049,va2,brook,개울,ручей,小溪,,xiao3 xi1 ,
,va104,va1,stream,시내/내/개울,,,горхи,,
,va050,va3,waterway,하천,водопроток,河(江河的+),мөрөн,he2 (jiang1 he2 de +),
,va051,va1,sea,바다,море,海(大海的+),далай,hai3 (da4 hai3 de +),
,va052,va1,lake,호수,озеро,湖(湖水的+),нуур,hu2 (hu2 shui3 de +),
,va053,va2,pond,연못,пруд,莲花池,цөөрөм,lian2 hua1 chi2,
,va054,va3,ditch,도랑,канава,水沟,суваг,shui3 gou1 ,
,va055,va1,ice,얼음,лёд,冰(结冰的+),мөс,bing1 (jie2 bing1 de +),
,va056,va1,water,물,вода,水(喝水的+),ус,shui3 (he1 shui3 de +),
,va057,va1,well,우물,колодец,井(水井的+),худаг,jing3 (shui3 jing3 de +),
,va058,va1,spring,샘,"родник, ключ",泉(泉水的+),булаг,quan2 (quan2 shui3 de +),
,va059,va3,hot spring,온천,горячий источник,温泉,халуун рашаан,wen1 quan2 ,
,va060,va3,reservoir,저수지,водохранилище,水库,усны сан,shui3 ku4,
,va061,va3,(river) bank,둑,плотина,堤(堤坝的+),далан,di1 (di1 ba4 de +),
,va062,va1,fire,불,огонь,火(着火的+),гал,huo3 (zhao2 huo3 de +),
,va063,va1,stone,돌,камень,石头,чулуу,shi2 tou ,
,va064,va2,rock,바위,скала,岩石,хад,yan2 shi2 ,
,va065,va1,country/nation,나라,страна,国家,улс,guo2 jia1,
,va066,va2,China,중국,Китай,中国,Хятад,zhong1 guo2 ,
,va067,va2,Manchu,만주,Маньчжурия,满洲,Манж,man3 zhou1 ,
,va068,va2,Peking,북경,Пекин,北京,Бээжин,bei3 jing1 ,
,va099,va2,Mongolia,몽골,Монголия,蒙古,Монгол,meng3 gu3,
,va100,va2,Kazakhstan,카자흐스탄,Казахстан,哈萨克斯坦,Хасаг,ha1 sa4 ke4,
,va101,va2,Tatarstan,타타르스탄,Татарстан,鞑靼斯坦,Татар,da2 da2,
,va069,va2,Russia,러시아,Россия,俄罗斯,Орос,e2 luo2 si1,
,va070,va2,Japan,일본,Япония,日本,Япон,ri4 ben3 ,
,va071,va2,Korea,한국,Корея,朝鲜,Солонгос,chao2 xian3 ,
